Total Nacional,Comunidades y Ciudades Autónomas,Periodo,Total
Total Nacional,10 Comunitat Valenciana,2019T1,8887
Total Nacional,10 Comunitat Valenciana,2018T4,7030
Total Nacional,10 Comunitat Valenciana,2018T3,8204
Total Nacional,10 Comunitat Valenciana,2018T2,10288
Total Nacional,10 Comunitat Valenciana,2018T1,8321
Total Nacional,10 Comunitat Valenciana,2017T4,7586
Total Nacional,10 Comunitat Valenciana,2017T3,9852
Total Nacional,10 Comunitat Valenciana,2017T2,9408
Total Nacional,10 Comunitat Valenciana,2017T1,8935
Total Nacional,10 Comunitat Valenciana,2016T4,4594
Total Nacional,10 Comunitat Valenciana,2016T3,5740
Total Nacional,10 Comunitat Valenciana,2016T2,5582
Total Nacional,10 Comunitat Valenciana,2016T1,6056
Total Nacional,10 Comunitat Valenciana,2015T4,3808
Total Nacional,10 Comunitat Valenciana,2015T3,4666
Total Nacional,10 Comunitat Valenciana,2015T2,3652
Total Nacional,10 Comunitat Valenciana,2015T1,3838
Total Nacional,10 Comunitat Valenciana,2014T4,4704
Total Nacional,10 Comunitat Valenciana,2014T3,5342
Total Nacional,10 Comunitat Valenciana,2014T2,3305
Total Nacional,10 Comunitat Valenciana,2014T1,2533
Total Nacional,10 Comunitat Valenciana,2013T4,2624
Total Nacional,10 Comunitat Valenciana,2013T3,6077
Total Nacional,11 Extremadura,2023T4,930
Total Nacional,11 Extremadura,2023T3,1239
Total Nacional,11 Extremadura,2023T2,430
Total Nacional,11 Extremadura,2023T1,1011
Total Nacional,11 Extremadura,2022T4,1380
Total Nacional,11 Extremadura,2022T3,1059
Total Nacional,11 Extremadura,2022T2,1696
Total Nacional,11 Extremadura,2022T1,970
Total Nacional,11 Extremadura,2021T4,979
Total Nacional,11 Extremadura,2021T3,721
Total Nacional,11 Extremadura,2021T2,969
Total Nacional,11 Extremadura,2021T1,1205
Total Nacional,11 Extremadura,2020T4,660
Total Nacional,11 Extremadura,2020T3,699
Total Nacional,11 Extremadura,2020T2,977
Total Nacional,11 Extremadura,2020T1,1727
Total Nacional,11 Extremadura,2019T4,903
Total Nacional,11 Extremadura,2019T3,1084
Total Nacional,11 Extremadura,2019T2,1037
Total Nacional,11 Extremadura,2019T1,1412
Total Nacional,11 Extremadura,2018T4,1744
Total Nacional,11 Extremadura,2018T3,1513
Total Nacional,11 Extremadura,2018T2,609
Total Nacional,11 Extremadura,2018T1,1809
Total Nacional,11 Extremadura,2017T4,752
Total Nacional,11 Extremadura,2017T3,839
Total Nacional,11 Extremadura,2017T2,1692
Total Nacional,11 Extremadura,2017T1,729
Total Nacional,11 Extremadura,2016T4,383
Total Nacional,11 Extremadura,2016T3,606
Total Nacional,11 Extremadura,2016T2,1011
Total Nacional,11 Extremadura,2016T1,666
Total Nacional,11 Extremadura,2015T4,894
Total Nacional,11 Extremadura,2015T3,866
Total Nacional,11 Extremadura,2015T2,892
Total Nacional,11 Extremadura,2015T1,814
Total Nacional,11 Extremadura,2014T4,599
Total Nacional,11 Extremadura,2014T3,374
Total Nacional,11 Extremadura,2014T2,527
Total Nacional,11 Extremadura,2014T1,976
Total Nacional,11 Extremadura,2013T4,695
Total Nacional,11 Extremadura,2013T3,812
Total Nacional,12 Galicia,2023T4,5581
Total Nacional,12 Galicia,2023T3,6150
Total Nacional,12 Galicia,2023T2,6515
Total Nacional,12 Galicia,2023T1,6929
Total Nacional,12 Galicia,2022T4,4811
Total Nacional,12 Galicia,2022T3,4651
Total Nacional,12 Galicia,2022T2,6016
Total Nacional,12 Galicia,2022T1,3731
Total Nacional,12 Galicia,2021T4,3025
Total Nacional,12 Galicia,2021T3,5077
Total Nacional,12 Galicia,2021T2,3342
Total Nacional,12 Galicia,2021T1,4162
Total Nacional,12 Galicia,2020T4,2993
Total Nacional,12 Galicia,2020T3,3295
Total Nacional,12 Galicia,2020T2,2766
Total Nacional,12 Galicia,2020T1,4173
Total Nacional,12 Galicia,2019T4,4607
Total Nacional,12 Galicia,2019T3,2797
Total Nacional,12 Galicia,2019T2,3664
Total Nacional,12 Galicia,2019T1,4414
Total Nacional,12 Galicia,2018T4,4205
Total Nacional,12 Galicia,2018T3,3117
Total Nacional,12 Galicia,2018T2,3538
Total Nacional,12 Galicia,2018T1,2683
Total Nacional,12 Galicia,2017T4,2045
Total Nacional,12 Galicia,2017T3,3397
Total Nacional,12 Galicia,2017T2,3501
Total Nacional,12 Galicia,2017T1,3486
Total Nacional,12 Galicia,2016T4,2308
Total Nacional,12 Galicia,2016T3,3075
Total Nacional,12 Galicia,2016T2,8332
Total Nacional,12 Galicia,2016T1,4375
Total Nacional,12 Galicia,2015T4,2601
Total Nacional,12 Galicia,2015T3,2391
Total Nacional,12 Galicia,2015T2,2384
Total Nacional,12 Galicia,2015T1,2396
Total Nacional,12 Galicia,2014T4,2202
Total Nacional,12 Galicia,2014T3,1990
Total Nacional,12 Galicia,2014T2,1450
Total Nacional,12 Galicia,2014T1,4325
Total Nacional,12 Galicia,2013T4,2975
Total Nacional,12 Galicia,2013T3,4398
Total Nacional,13 Madrid,2023T4,31474
Total Nacional,13 Madrid,2023T3,33656
Total Nacional,13 Madrid,2023T2,29424
Total Nacional,13 Madrid,2023T1,36812
Total Nacional,13 Madrid,2022T4,27551
Total Nacional,13 Madrid,2022T3,29006
Total Nacional,13 Madrid,2022T2,27105
Total Nacional,13 Madrid,2022T1,27676
Total Nacional,13 Madrid,2021T4,22253
Total Nacional,13 Madrid,2021T3,21561
Total Nacional,13 Madrid,2021T2,27001
Total Nacional,13 Madrid,2021T1,25348
Total Nacional,13 Madrid,2020T4,17419
Total Nacional,13 Madrid,2020T3,17004
Total Nacional,13 Madrid,2020T2,16507
Total Nacional,13 Madrid,2020T1,25708
Total Nacional,13 Madrid,2019T4,21684
Total Nacional,13 Madrid,2019T3,24352
Total Nacional,13 Madrid,2019T2,25122
Total Nacional,13 Madrid,2019T1,22444
Total Nacional,13 Madrid,2018T4,23776
Total Nacional,13 Madrid,2018T3,25320
Total Nacional,13 Madrid,2018T2,21391
Total Nacional,13 Madrid,2018T1,22166
Total Nacional,13 Madrid,2017T4,18000
Total Nacional,13 Madrid,2017T3,17309
Total Nacional,13 Madrid,2017T2,18247
Total Nacional,13 Madrid,2017T1,18269
Total Nacional,13 Madrid,2016T4,18405
Total Nacional,13 Madrid,2016T3,16044
Total Nacional,13 Madrid,2016T2,17655
Total Nacional,13 Madrid,2016T1,15349
Total Nacional,13 Madrid,2015T4,14187
Total Nacional,13 Madrid,2015T3,15011
Total Nacional,13 Madrid,2015T2,14459
Total Nacional,13 Madrid,2015T1,15407
Total Nacional,13 Madrid,2014T4,13005
Total Nacional,13 Madrid,2014T3,12245
Total Nacional,13 Madrid,2014T2,11902
Total Nacional,13 Madrid,2014T1,14023
Total Nacional,13 Madrid,2013T4,12767
Total Nacional,13 Madrid,2013T3,17797
Total Nacional,14 Murcia,2023T4,1201
Total Nacional,14 Murcia,2023T3,1605
Total Nacional,14 Murcia,2023T2,1705
Total Nacional,14 Murcia,2023T1,1342
Total Nacional,14 Murcia,2022T4,2050
Total Nacional,14 Murcia,2022T3,1712
Total Nacional,14 Murcia,2022T2,1392
Total Nacional,14 Murcia,2022T1,1066
Total Nacional,14 Murcia,2021T4,1750
Total Nacional,14 Murcia,2021T3,1873
Total Nacional,14 Murcia,2021T2,2423
Total Nacional,14 Murcia,2021T1,2045
Total Nacional,14 Murcia,2020T4,1319
Total Nacional,14 Murcia,2020T3,547
Total Nacional,14 Murcia,2020T2,932
Total Nacional,14 Murcia,2020T1,693
Total Nacional,14 Murcia,2019T4,1378
Total Nacional,14 Murcia,2019T3,1186
Total Nacional,14 Murcia,2019T2,2188
Total Nacional,14 Murcia,2019T1,1540
Total Nacional,14 Murcia,2018T4,1313
Total Nacional,14 Murcia,2018T3,1549
Total Nacional,14 Murcia,2018T2,1301
